Who?	('<SOS>', 'को?', '<EOS>')
Show me your ID card.	('<SOS>', 'आफ्नो आईडी कार्ड देखाउ।', '<EOS>')
That isn't practical.	('<SOS>', 'त्यो व्यावहारिक छैन।', '<EOS>')
This plan might work.	('<SOS>', 'यो योजना सफल हुन सक्छ।', '<EOS>')
Today is my birthday.	('<SOS>', 'आज मेरो जन्मदिन हो।', '<EOS>')
Tom climbed Mt. Fuji.	('<SOS>', 'टम माउन्ट फुजी चढे।', '<EOS>')
Tom climbed Mt. Fuji.	('<SOS>', 'टम माउन्ट फुजी चढ्यो।', '<EOS>')
Tom doesn't trust us.	('<SOS>', 'टमले हामीलाई विश्वास गर्दैन।', '<EOS>')
Tom fixed my bicycle.	('<SOS>', 'टमले मेरो साइकल बनाईदियो ।', '<EOS>')
Tom has a nice voice.	('<SOS>', 'टमको आवाज सुन्दर छ।', '<EOS>')
Tom has to get ready.	('<SOS>', 'टम तयार हुनुपर्छ।', '<EOS>')
Tom is a dog trainer.	('<SOS>', 'टम एक कुकुर प्रशिक्षक हो।', '<EOS>')
Tom is a naughty boy.	('<SOS>', 'टम एक शरारती केटो हो।', '<EOS>')
Tom is my first name.	('<SOS>', 'टम मेरो पहिलो नाम हो।', '<EOS>')
Tom is only thirteen.	('<SOS>', 'टम मात्र तेह्र वर्षको छ।', '<EOS>')
Tom knew I was tired.	('<SOS>', 'टमलाई म थाकेको थाहा थियो।', '<EOS>')
Tom knows how to win.	('<SOS>', 'टमलाई कसरी जित्ने थाहा छ।', '<EOS>')
Tom made fun of Mary.	('<SOS>', 'टमले मेरीको मजाक उडाए।', '<EOS>')
Tom made fun of Mary.	('<SOS>', 'टमले मेरीको मजाक उडायो।', '<EOS>')
Tom needed your help.	('<SOS>', 'टमलाई तपाईंको मद्दत चाहिएको थियो।', '<EOS>')
Tom proved otherwise.	('<SOS>', 'टमले अन्यथा प्रमाणित गरे।', '<EOS>')
Tom really likes you.	('<SOS>', 'टमले तिमीलाई साँच्चै मन पराउँछ।', '<EOS>')
Tom sat on the table.	('<SOS>', 'टम टेबलमा बस्यो।', '<EOS>')
Tom scared everybody.	('<SOS>', 'टमले सबैलाई डराए।', '<EOS>')
Tom scared everybody.	('<SOS>', 'टमले सबैलाई डराएको थियो।', '<EOS>')
Tom started vomiting.	('<SOS>', 'टमले बान्ता गर्न थाल्यो।', '<EOS>')
Tom stole everything.	('<SOS>', 'टमले सबै कुरा चोर्यो।', '<EOS>')
Tom washed both cars.	('<SOS>', 'टमले दुबै कारहरू धोए।', '<EOS>')
Tom watched in shock.	('<SOS>', 'टमले स्तब्ध भएर हेर्यो।', '<EOS>')
Tom, how old are you?	('<SOS>', 'टम, तिम्रो उमेर कति भयो ?', '<EOS>')
We're serious people.	('<SOS>', 'हामी गम्भीर मानिसहरू हौं।', '<EOS>')
What are you washing?	('<SOS>', 'के धुँदै हुनुहुन्छ?', '<EOS>')
What are you washing?	('<SOS>', 'तपाई के धुँदै हुनुहुन्छ?', '<EOS>')
What are your duties?	('<SOS>', 'तिम्रा कर्तव्यहरु के के छन् ?', '<EOS>')
What is bullfighting?	('<SOS>', 'बुलफाइटिंग भनेको के हो?', '<EOS>')
What is bullfighting?	('<SOS>', 'गोरु जुदाई भनेको के हो?', '<EOS>')
What was Tom wearing?	('<SOS>', 'टमले के लगाएको थियो?', '<EOS>')
What's that building?	('<SOS>', 'त्यो भवन के हो?', '<EOS>')
Where's the restroom?	('<SOS>', 'शौचालय कहाँ छ?', '<EOS>')
Where's your brother?	('<SOS>', 'तपाइको भाई कहाँ हुनुहुन्छ?', '<EOS>')
Why aren't they here?	('<SOS>', 'तिनीहरू यहाँ किन छैनन्?', '<EOS>')
Why not come with me?	('<SOS>', 'मसँग किन नआउने?', '<EOS>')
You must be so angry.	('<SOS>', 'तपाई धेरै रिसाएको हुनुपर्छ।', '<EOS>')
Am I imagining things?	('<SOS>', 'के म चीजहरूको कल्पना गर्दैछु?', '<EOS>')
Are you employed here?	('<SOS>', 'के तिमी यहाँ काम गर्छौ?', '<EOS>')
Are you in a bad mood?	('<SOS>', 'के तपाई खराब मुडमा हुनुहुन्छ?', '<EOS>')
Can you fix my laptop?	('<SOS>', 'के तपाईं मेरो ल्यापटप ठीक गर्न सक्नुहुन्छ?', '<EOS>')
Can you fix my laptop?	('<SOS>', 'के तपाईं मेरो ल्यापटप बनाउन सक्नुहुन्छ?', '<EOS>')
Can you identify that?	('<SOS>', 'के तपाईं त्यो पहिचान गर्न सक्नुहुन्छ?', '<EOS>')
Can you send it to me?	('<SOS>', 'के तपाईं मलाई पठाउन सक्नुहुन्छ?', '<EOS>')
Did you hear the bell?	('<SOS>', 'घण्टीको आवाज सुन्नु भयो?', '<EOS>')
Did you hear the bell?	('<SOS>', 'घण्टीको आवाज सुन्यौ?', '<EOS>')
Do you pray every day?	('<SOS>', 'के तपाईं हरेक दिन प्रार्थना गर्नुहुन्छ?', '<EOS>')
He has a Japanese car.	('<SOS>', 'उहाँसँग जापानी कार छ।', '<EOS>')
He has a Japanese car.	('<SOS>', 'ऊसँग जापानी कार छ।', '<EOS>')
He has a large family.	('<SOS>', 'उहाँको ठूलो परिवार छ ।', '<EOS>')
He has a large family.	('<SOS>', 'उसको ठूलो परिवार छ।', '<EOS>')
His car has no wheels.	('<SOS>', 'उसको कारमा पाङ्ग्रा छैनन्।', '<EOS>')
I can write very fast.	('<SOS>', 'म धेरै छिटो लेख्न सक्छु।', '<EOS>')
I can't bear the pain.	('<SOS>', 'म पीडा सहन सक्दिन।', '<EOS>')
I can't eat that food.	('<SOS>', 'म त्यो खान सक्दिन।', '<EOS>')
I chose the wrong one.	('<SOS>', 'मैले गलत रोजेँ।', '<EOS>')
I hated history class.	('<SOS>', 'म इतिहासको कक्षालाई घृणा गर्थे।', '<EOS>')
I have a grammar book.	('<SOS>', 'मसित व्याकरणको किताब छ\u200b।', '<EOS>')
I haven't decided yet.	('<SOS>', 'मैले अझै निर्णय गरेको छैन।', '<EOS>')
I know I've been shot.	('<SOS>', 'मलाई गोली लागेको थाहा छ।', '<EOS>')
I liked what you said.	('<SOS>', 'तपाईले भनेको कुरा मलाई मन पर्यो।', '<EOS>')
I liked what you said.	('<SOS>', 'तिमीले भनेको कुरा मलाई मन पर्यो।', '<EOS>')
I must do that anyway.	('<SOS>', 'मैले जसरी पनि त्यो गर्नुपर्छ।', '<EOS>')
I need you by my side.	('<SOS>', 'मलाई तिम्रो साथ चाहिन्छ।', '<EOS>')
I often work with Tom.	('<SOS>', 'म प्राय टमसँग काम गर्छु।', '<EOS>')
I ran toward the door.	('<SOS>', 'म ढोकातिर दौडिए ।', '<EOS>')
I remember this place.	('<SOS>', 'म यो ठाउँ सम्झन्छु।', '<EOS>')
I remember this place.	('<SOS>', 'मलाई यो ठाउँ याद छ।', '<EOS>')
I want to be like you.	('<SOS>', 'म तिमी जस्तै बन्न चाहन्छु।', '<EOS>')
I worked hard on that.	('<SOS>', 'त्यसमा मैले कडा मेहनत गरेँ।', '<EOS>')
I'll be there at once.	('<SOS>', 'म तत्कालै त्यहाँ जान्छु।', '<EOS>')
I'll show you my room.	('<SOS>', 'म तिमीलाई मेरो कोठा देखाउँछु।', '<EOS>')
I'm apartment hunting.	('<SOS>', 'म अपार्टमेन्ट खोज्दै छु।', '<EOS>')
I'm not even a member.	('<SOS>', 'म सदस्य पनि होइन ।', '<EOS>')
I'm your new roommate.	('<SOS>', 'म तिम्रो नयाँ रूममेट हुँ।', '<EOS>')
I'm your new roommate.	('<SOS>', 'म तिम्रो नयाँ कोठामा बस्ने साथी हुँ।', '<EOS>')
Is Tom afraid of Mary?	('<SOS>', 'के टम मेरीसँग डराउँछन्?', '<EOS>')
Is sugar good for you?	('<SOS>', 'के तपाईंको लागि चिनी ठिक छ?', '<EOS>')
Is that a real tattoo?	('<SOS>', 'के त्यो वास्तविक ट्याटू हो?', '<EOS>')
It was a nice feeling.	('<SOS>', 'यो एउटा राम्रो अनुभूति थियो।', '<EOS>')
It's causing problems.	('<SOS>', 'यसले समस्या निम्त्याइरहेको छ ।', '<EOS>')
It's not raining hard.	('<SOS>', 'ठुलो पानी परेको छैन।', '<EOS>')
Just don't go outside.	('<SOS>', 'बस बाहिर नजानुहोस्।', '<EOS>')
Let's buy some apples.	('<SOS>', 'केही स्याउ किनौं।', '<EOS>')
Let's do this quietly.	('<SOS>', 'चुपचापसंग गरौं।', '<EOS>')
May I use your toilet?	('<SOS>', 'के म तिम्रो शौचालय प्रयोग गर्न सक्छु?', '<EOS>')
My father is a banker.	('<SOS>', 'मेरो बुबा बैंकर हुनुहुन्छ।', '<EOS>')
My father is a banker.	('<SOS>', 'मेरो बुबा बैंकमा काम गर्नुहुन्छ।', '<EOS>')
Please take your time.	('<SOS>', 'कृपया आफ्नो समय लिनुहोस्।', '<EOS>')
Supplies are very low.	('<SOS>', 'आपूर्ति धेरै कम छ।', '<EOS>')
Tell Tom what that is.	('<SOS>', 'टमलाई भन्नुहोस् कि त्यो के हो।', '<EOS>')
Thanks for the cookie.	('<SOS>', 'कुकीज को लागी धन्यवाद।', '<EOS>')
That book is sold out.	('<SOS>', 'त्यो पुस्तक बिक्री भइसकेको छ।', '<EOS>')
That isn't a bad idea.	('<SOS>', 'त्यो नराम्रो विचार होइन।', '<EOS>')
That must be exciting.	('<SOS>', 'त्यो रोमाञ्चक हुनुपर्छ।', '<EOS>')
That's Tom's daughter.	('<SOS>', 'ति टमकी छोरी हुन्।', '<EOS>')
The bus has just left.	('<SOS>', 'बस भर्खरै छुट्यो।', '<EOS>')
The moon has come out.	('<SOS>', 'चन्द्रमा निस्किसकेको छ ।', '<EOS>')
There was a thick fog.	('<SOS>', 'त्यहाँ बाक्लो कुहिरो थियो।', '<EOS>')
This is my wife, Mary.	('<SOS>', 'यिनी मेरी श्रीमती मेरी हुन्।', '<EOS>')
This is the wrong key.	('<SOS>', 'यो गलत चाबी हो।', '<EOS>')
This room is for rent.	('<SOS>', 'यो कोठा भाडामा छ।', '<EOS>')
This tea is too sweet.	('<SOS>', 'यो चिया धेरै गुलियो छ।', '<EOS>')
Tom can take anything.	('<SOS>', 'टम जे पनि लिन सक्छ।', '<EOS>')
Tom grabbed the candy.	('<SOS>', 'टमले मिठाई समात्यो।', '<EOS>')
Tom has blue jeans on.	('<SOS>', 'टमले नीलो जिन्स लगाएको छ।', '<EOS>')
Tom is a fast thinker.	('<SOS>', 'टम एक द्रुत विचारकर्ता हो।', '<EOS>')
Tom is not interested.	('<SOS>', 'टमलाई चासो छैन।', '<EOS>')
Tom is washing dishes.	('<SOS>', 'टम भाँडा धुँदै छ।', '<EOS>')
Tom killed the spider.	('<SOS>', 'टमले माकुरालाई मारे।', '<EOS>')
Tom likes to show off.	('<SOS>', 'टमलाई देखावटी गर्न मनपर्छ।', '<EOS>')
Tom loves apple juice.	('<SOS>', 'टमलाई स्याउको जुस मनपर्छ।', '<EOS>')
Tom put away his toys.	('<SOS>', 'टमले आफ्ना खेलौनाहरू राखे।', '<EOS>')
Tom ran to the temple.	('<SOS>', 'टम दौडेर मन्दिरतिर गयो।', '<EOS>')
Tom said he was dying.	('<SOS>', 'टमले भनो कि ऊ मर्दैछ।', '<EOS>')
Tom wanted to succeed.	('<SOS>', 'टम सफल हुन चाहन्थे।', '<EOS>')
Tom was also offended.	('<SOS>', 'टम पनि आक्रोशित थियो।', '<EOS>')
Tom was told about it.	('<SOS>', 'टमलाई यसको बारेमा बताइयो।', '<EOS>')
Tom won't go, will he?	('<SOS>', 'टम जानेछैन, के ऊ जान्छ?', '<EOS>')
We never said goodbye.	('<SOS>', 'हामीले कहिल्यै अलविदा भनेनौं।', '<EOS>')
We'd better get ready.	('<SOS>', 'हामी तयार हुनु राम्रो हुन्छ।', '<EOS>')
We'll go after we eat.	('<SOS>', 'खाना खाइसकेपछि जान्छौं।', '<EOS>')
What did you just say?	('<SOS>', 'भर्खरै के भन्नुभयो?', '<EOS>')
What do ostriches eat?	('<SOS>', 'अस्ट्रिचले के खान्छ?', '<EOS>')
Where can we find you?	('<SOS>', 'हामी तपाईंलाई कहाँ भेट्टाउन सक्छौं?', '<EOS>')
Where is your brother?	('<SOS>', 'तपाइको भाई कहाँ हुनुहुन्छ?', '<EOS>')
Who is that old woman?	('<SOS>', 'ती वृद्धा को हुन्?', '<EOS>')
Whose booklet is that?	('<SOS>', 'त्यो पुस्तिका कसको हो ?', '<EOS>')
Why didn't you answer?	('<SOS>', 'तिमीले जवाफ किन नदिएको ?', '<EOS>')
Why shop there anyway?	('<SOS>', 'जे भए पनि त्यहाँ पसल किन ?', '<EOS>')
Will you let Tom sing?	('<SOS>', 'के तपाइँ टमलाई गाउन दिनुहुनेछ?', '<EOS>')
You're going to be OK.	('<SOS>', 'तपाईं ठीक हुन हुनुहुनेछ।', '<EOS>')
Your mother loves you.	('<SOS>', 'तिम्री आमाले तिमीलाई माया गर्नुहुन्छ।', '<EOS>')
Are you open on Sunday?	('<SOS>', 'के तपाई आइतवार खाली हुनुहुन्छ?', '<EOS>')
Do you know about this?	('<SOS>', 'के तपाईलाई यसको बारेमा थाहा छ?', '<EOS>')
Do you live here alone?	('<SOS>', 'तिमी यहाँ एक्लै बस्छौ?', '<EOS>')
Do you live here alone?	('<SOS>', 'तपाई यहाँ एक्लै बस्नुहुन्छ?', '<EOS>')
Do you live here alone?	('<SOS>', 'त यहाँ एक्लै बस्छस्?', '<EOS>')
Don't get carried away.	('<SOS>', 'मलाई नबहकाउनु होस्।', '<EOS>')
Don't skip classes, OK?	('<SOS>', 'कक्षाहरू नछोड्नुहोस्, ठीक छ?', '<EOS>')
Give me that iron ball.	('<SOS>', 'मलाई त्यो फलामको बल दिनुहोस्।', '<EOS>')
Give me that iron ball.	('<SOS>', 'मलाई त्यो फलामको बल देऊ।', '<EOS>')
He often appears on TV.	('<SOS>', 'उनी प्रायः टिभीमा देखा पर्छन्।', '<EOS>')
I am sixteen years old.	('<SOS>', 'म सोह्र वर्षको भएँ।', '<EOS>')
I am sixteen years old.	('<SOS>', 'म सोह्र वर्षको हुँ।', '<EOS>')
I decided to try again.	('<SOS>', 'मैले पुन: प्रयास गर्ने निर्णय गरें।', '<EOS>')
I decided to try again.	('<SOS>', 'मैले फेरि प्रयास गर्ने निर्णय गरें।', '<EOS>')
I decided to volunteer.	('<SOS>', 'मैले स्वयंसेवक हुने निर्णय गरें।', '<EOS>')
I don't have seniority.	('<SOS>', 'मसँग वरिष्ठता छैन।', '<EOS>')
I drink wine every day.	('<SOS>', 'म हरेक दिन वाइन पिउँछु।', '<EOS>')
I got an A on my essay.	('<SOS>', 'मैले मेरो निबन्धमा ए पाएँ।', '<EOS>')
I hate girls like that.	('<SOS>', 'म त्यस्ता केटीहरूलाई घृणा गर्छु।', '<EOS>')
I kissed Tom yesterday.	('<SOS>', 'मैले हिजो टमलाई चुम्बन गरें।', '<EOS>')
I know Tom is talented.	('<SOS>', 'मलाई थाहा छ टम प्रतिभाशाली छ।', '<EOS>')
I know Tom isn't happy.	('<SOS>', 'मलाई थाहा छ टम खुसी छैन।', '<EOS>')
I must find the answer.	('<SOS>', 'यसको जवाफ मैले खोज्नुपर्छ।', '<EOS>')
I must find the answer.	('<SOS>', 'यसको जवाफ मैले नखोजी हुदैन।', '<EOS>')
I only eat kosher food.	('<SOS>', 'म कोषेर खाना मात्र खान्छु।', '<EOS>')
I only eat kosher food.	('<SOS>', 'म कोषेर खाना बाहेक अरु खन्न।', '<EOS>')
I really appreciate it.	('<SOS>', 'म साँच्चै यसको कदर गर्छु।', '<EOS>')
I think I do good work.	('<SOS>', 'मलाई राम्रो काम गर्छु भन्ने लाग्छ।', '<EOS>')
I went there yesterday.	('<SOS>', 'म हिजो त्यहाँ गएको थिएँ ।', '<EOS>')
I will not be defeated.	('<SOS>', 'म पराजित हुने छैन।', '<EOS>')
I'll pay for it myself.	('<SOS>', 'यसको लागि म आफैं तिर्नेछु।', '<EOS>')
I'm literally starving.	('<SOS>', 'म साँच्चै भोकै छु।', '<EOS>')
I'm not making changes.	('<SOS>', 'म परिवर्तन गरिरहेको छुइन।', '<EOS>')
I'm on my way to Tom's.	('<SOS>', 'म टमको घर जाँदैछु।', '<EOS>')
I'm ready for tomorrow.	('<SOS>', 'म भोलिको लागि तयार छु।', '<EOS>')
I'm sure it isn't true.	('<SOS>', 'म पक्का छु कि यो सत्य होइन।', '<EOS>')
I've got no complaints.	('<SOS>', 'मलाई कुनै गुनासो छैन।', '<EOS>')
Is it a recent picture?	('<SOS>', 'के यो हालको तस्वीर हो?', '<EOS>')
Is it unconstitutional?	('<SOS>', 'के यो असंवैधानिक हो?', '<EOS>')
It was really exciting.	('<SOS>', 'यो साँच्चै रोमाञ्चक थियो।', '<EOS>')
It's snowing here, too.	('<SOS>', 'यहाँ पनि हिउँ परेको छ ।', '<EOS>')
Mosquitoes are insects.	('<SOS>', 'लामखुट्टे किराहरू हुन्।', '<EOS>')
My mother is beautiful.	('<SOS>', 'मेरी आमा सुन्दर हुनुहुन्छ।', '<EOS>')
My wife's name is Mary.	('<SOS>', 'मेरी श्रीमतीको नाम मेरी हो।', '<EOS>')
Please make it cheaper.	('<SOS>', 'कृपया यसलाई सस्तो बनाउनुहोस्।', '<EOS>')
She went to that store.	('<SOS>', 'उनी त्यो पसलमा गइन्।', '<EOS>')
Sometimes that happens.	('<SOS>', 'कहिलेकाहीँ त्यस्तो हुन्छ।', '<EOS>')
Thank you ever so much.	('<SOS>', 'सधैं धेरै धेरै धन्यवाद।', '<EOS>')
Thanks for the cookies.	('<SOS>', 'कुकीज को लागी धन्यवाद।', '<EOS>')
That boy's name is Tom.	('<SOS>', 'त्यो केटाको नाम टम हो।', '<EOS>')
That'll have to change.	('<SOS>', 'त्यो परिवर्तन गर्नुपर्छ।', '<EOS>')
The light turned green.	('<SOS>', 'ट्राफिक बत्ती हरियो भयो।', '<EOS>')
They got into the boat.	('<SOS>', 'तिनीहरू डुङ्गामा चढे।', '<EOS>')
This is so humiliating.	('<SOS>', 'यो धेरै अपमानजनक छ।', '<EOS>')
This tea is too bitter.	('<SOS>', 'यो चिया धेरै तितो छ।', '<EOS>')
Tom and I aren't ready.	('<SOS>', 'टम र म अझै तयार छैनौं।', '<EOS>')
Tom and Mary are twins.	('<SOS>', 'टम र मेरी जुम्ल्याहा हुन्।', '<EOS>')
Tom broke his left arm.	('<SOS>', 'टमले आफ्नो देब्रे हात भाँच्यो।', '<EOS>')
Tom damaged the engine.	('<SOS>', 'टमले इन्जिनलाई क्षति पुर्यायो।', '<EOS>')
Tom eats a lot of fish.	('<SOS>', 'टमले धेरै माछा खान्छ।', '<EOS>')
Tom gave Mary a kitten.	('<SOS>', 'टमले मेरीलाई एउटा बिरालोको बच्चा दिए।', '<EOS>')
Tom has a half-brother.	('<SOS>', 'टमको सौतेनी भाइ छ।', '<EOS>')
Tom has exams tomorrow.	('<SOS>', 'टमको भोलि परीक्षाहरु छन्।', '<EOS>')
Tom is my new roommate.	('<SOS>', 'टम मसँग कोठामा बस्ने नयाँ साथी हो।', '<EOS>')
Tom is reluctant to go.	('<SOS>', 'टम जान अनिच्छुक छ।', '<EOS>')
Tom is writing letters.	('<SOS>', 'टमले चिठीहरु लेख्दैछ।', '<EOS>')
Tom makes model planes.	('<SOS>', 'टमले नमुना विमानहरू बनाउँछ।', '<EOS>')
Tom needs an incentive.	('<SOS>', 'टमलाई प्रोत्साहनको आवश्यकता छ।', '<EOS>')
Tom only drinks coffee.	('<SOS>', 'टमले कफी मात्र पिउछ।', '<EOS>')
Tom wants a girlfriend.	('<SOS>', 'टम एक प्रेमिका चाहन्छ।', '<EOS>')
Tom wants a girlfriend.	('<SOS>', 'टम प्रेमिका चाहन्छ।', '<EOS>')
Tom was killed in 2013.	('<SOS>', 'टमको हत्या सन् २०१३ मा भएको थियो ।', '<EOS>')
We knew what to expect.	('<SOS>', 'के आशा गर्ने भन्ने हामीलाई थाहा थियो।', '<EOS>')
We knew what to expect.	('<SOS>', 'हामीलाई के आशा गर्ने थाहा थियो।', '<EOS>')
We walked to the store.	('<SOS>', 'हामी पसलतिर लाग्यौं।', '<EOS>')
We'd better not go now.	('<SOS>', 'हामी अब नजानु राम्रो हुन्छ।', '<EOS>')
We'll meet you outside.	('<SOS>', 'हामी तपाईलाई बाहिर भेट्नेछौं।', '<EOS>')
What do you plan to do?	('<SOS>', 'के गर्ने योजनामा हुनुहुन्छ?', '<EOS>')
What do you want to do?	('<SOS>', 'तिमी के गर्न चाहान्छौ?', '<EOS>')
What do you want to do?	('<SOS>', 'तपाई के गर्न चाहानुहुन्छ?', '<EOS>')
When will you get back?	('<SOS>', 'तिमी कहिले फर्कनेछौ?', '<EOS>')
Where's my apple juice?	('<SOS>', 'मेरो स्याउको जुस कहाँ छ?', '<EOS>')
Who could ask for more?	('<SOS>', 'कसले धेरै माग्न सक्छ?', '<EOS>')
Who is this Tom anyway?	('<SOS>', 'जे भए पनि यो टम को हो?', '<EOS>')
Why don't you eat beef?	('<SOS>', 'तपाई गाईको मासु किन खानु हुन्न ?', '<EOS>')
Wolves have long tails.	('<SOS>', 'ब्वाँसाको पुच्छर लामो हुन्छ।', '<EOS>')
You can eat this fruit.	('<SOS>', 'यो फल खाए पनि हुन्छ।', '<EOS>')
You did very well, Tom.	('<SOS>', 'तिमीले धेरै राम्रो गर्यौ, टम।', '<EOS>')
You won't see me again.	('<SOS>', 'तिमीले मलाई फेरि देख्ने छैनौ।', '<EOS>')
You're a good teammate.	('<SOS>', 'तपाईं एक राम्रो टिममेट हुनुहुन्छ।', '<EOS>')
You're always laughing.	('<SOS>', 'तपाईं सधैं हाँस्नुहुन्छ।', '<EOS>')
You're not very polite.	('<SOS>', 'तिमी धेरै विनम्र छैनौ।', '<EOS>')
You've made your point.	('<SOS>', 'तपाईंले आफ्नो कुरा राख्नुभएको छ।', '<EOS>')
"Who is it?" "It's Tom."	('<SOS>', '"यो को हो?" "यो टम हो।"', '<EOS>')
A bear can climb a tree.	('<SOS>', 'भालु रूख चढ्न सक्छ।', '<EOS>')
Animals are our friends.	('<SOS>', 'जनावरहरू हाम्रा साथी हुन्।', '<EOS>')
Are you free on Mondays?	('<SOS>', 'के तपाई सोमबार फ्री हुनुहुन्छ?', '<EOS>')
Are you free on Mondays?	('<SOS>', 'के तपाई सोमबार खाली हुनुहुन्छ?', '<EOS>')
Are you willing to help?	('<SOS>', 'के तपाईं मद्दत गर्न इच्छुक हुनुहुन्छ?', '<EOS>')
Ask me something easier.	('<SOS>', 'मलाई केहि सजिलो सोध्नुहोस्।', '<EOS>')
Can you lower the price?	('<SOS>', 'तपाईं मूल्य कम गर्न सक्नुहुन्छ?', '<EOS>')
Could you call me later?	('<SOS>', 'के तपाईंले मलाई पछि कल गर्न सक्नुहुन्छ?', '<EOS>')
Did Tom buy a lot today?	('<SOS>', 'के टमले आज धेरै किनेको छ?', '<EOS>')
Did Tom buy a lot today?	('<SOS>', 'के टमले आज धेरै किन्यो ?', '<EOS>')
Did you buy a new phone?	('<SOS>', 'के तपाईंले नयाँ फोन किन्नु भयो?', '<EOS>')
Do you have cough drops?	('<SOS>', 'के तपाईसँग खोकी को औषधि छ?', '<EOS>')
Do you know what to say?	('<SOS>', 'के तपाईलाई थाहा छ के भन्ने हो?', '<EOS>')
Everything's going well.	('<SOS>', 'सबै कुरा राम्ररी चलिरहेको छ।', '<EOS>')
Exactly how old are you?	('<SOS>', 'ठ्याक्कै तपाईको उमेर कति हो?', '<EOS>')
He is a friendly person.	('<SOS>', 'ऊ मिलनसार व्यक्ति छ।', '<EOS>')
He's writing a book now.	('<SOS>', 'उनी अहिले किताब लेख्दै छन् ।', '<EOS>')
How long is this bridge?	('<SOS>', 'यो पुल कति लामो छ?', '<EOS>')
I am eighteen years old.	('<SOS>', 'म अठार वर्षको भएँ।', '<EOS>')
I am eighteen years old.	('<SOS>', 'म अठार वर्षको हुँ।', '<EOS>')
I am not going anywhere.	('<SOS>', 'म कतै जाँदै छैन।', '<EOS>')
I believe I can do that.	('<SOS>', 'मलाई विश्वास छ म त्यो गर्न सक्छु।', '<EOS>')
I collect foreign coins.	('<SOS>', 'म विदेशी मुद्रा सङ्कलन गर्छु।', '<EOS>')
I could hear everything.	('<SOS>', 'म सबै कुरा सुन्न सक्थे।', '<EOS>')
I danced all night long.	('<SOS>', 'म रातभरि नाचिरहेँ ।', '<EOS>')
I didn't know that rule.	('<SOS>', 'मलाई त्यो नियम थाहा थिएन।', '<EOS>')
I don't blame you a bit.	('<SOS>', 'म तिमीलाई अलिकति पनि दोष दिन्न।', '<EOS>')
I drink my coffee black.	('<SOS>', 'म मेरो कफी कालो पिउछु।', '<EOS>')
I have nothing to share.	('<SOS>', 'मसँग बाँड्ने केही छैन ।', '<EOS>')
I know him only by name.	('<SOS>', 'मलाई उहाँको नाम मात्र थाहा छ।', '<EOS>')
I lived in a small town.	('<SOS>', 'म एउटा सानो सहरमा बस्थे।', '<EOS>')
I must admit I like Tom.	('<SOS>', 'मैले मान्नु पर्छ कि म टमलाई मन पराउँछु।', '<EOS>')
I only know him by name.	('<SOS>', 'मलाई उहाँको नाम मात्र थाहा छ।', '<EOS>')
I play soccer every day.	('<SOS>', 'म हरेक दिन फुटबल खेल्छु।', '<EOS>')
I really need your help.	('<SOS>', 'मलाई साँच्चै तपाईंको मद्दत चाहिन्छ।', '<EOS>')
I slowly opened my eyes.	('<SOS>', 'मैले बिस्तारै आँखा खोलेँ।', '<EOS>')
I think Tom is talented.	('<SOS>', 'मलाई लाग्छ कि टम प्रतिभाशाली छ।', '<EOS>')
I think it's a bad idea.	('<SOS>', 'मलाई यो नराम्रो विचार हो जस्तो लाग्छ।', '<EOS>')
I think you're mistaken.	('<SOS>', 'मलाई लाग्छ तपाईं गलत हुनुहुन्छ।', '<EOS>')
I thought Tom was happy.	('<SOS>', 'मैले सोचें कि टम खुसी थिए।', '<EOS>')
I tried again and again.	('<SOS>', 'मैले धेरै पटक प्रयास गरें।', '<EOS>')
I visited Tom in Boston.	('<SOS>', 'म बोस्टनमा टमलाई भेट्न गएँ।', '<EOS>')
I want to wash my hands.	('<SOS>', 'म आफ्नो हात धुन चाहन्छु।', '<EOS>')
I wish to see my father.	('<SOS>', 'म बुबालाई भेट्न चाहन्छु।', '<EOS>')
I'll be your tour guide.	('<SOS>', 'म तिम्रो टुर गाइड हुनेछु।', '<EOS>')
I'll meet you in Boston.	('<SOS>', 'म तिमीलाई बोस्टनमा भेट्नेछु।', '<EOS>')
I'm a woman, not a girl.	('<SOS>', 'म महिला हुँ, केटी होइन।', '<EOS>')
I'm also from Australia.	('<SOS>', 'म पनि अस्ट्रेलिया बाट हुँ ।', '<EOS>')
I'm from Australia, too.	('<SOS>', 'म पनि अस्ट्रेलिया बाट हुँ ।', '<EOS>')
It was nice knowing you.	('<SOS>', 'तिमीलाई चिन्दा राम्रो लाग्यो।', '<EOS>')
It was nice knowing you.	('<SOS>', 'तपाईलाई चिन्न पाउँदा राम्रो लाग्यो।', '<EOS>')
It was nice knowing you.	('<SOS>', 'तपाईलाई चिन्दा राम्रो लाग्यो।', '<EOS>')
It will be hot tomorrow.	('<SOS>', 'भोलि गर्मी हुनेछ ।', '<EOS>')
Look what they're doing.	('<SOS>', 'हेर्नुहोस् तिनीहरू के गर्दैछन्।', '<EOS>')
Make it a little bigger.	('<SOS>', 'अलिक ठूलो बनाउनुहोस्।', '<EOS>')
Make it a little larger.	('<SOS>', 'अलिक ठूलो बनाउनुहोस्।', '<EOS>')
Make it a little louder.	('<SOS>', 'अलिक ठूलो बनाउनुहोस्।', '<EOS>')
Maybe they'll come back.	('<SOS>', 'सायद तिनीहरू फर्केर आउनेछन्।', '<EOS>')
