who?	को?
i'm not even a member.	म सदस्य पनि होइन ।
i'm your new roommate.	म तिम्रो नयाँ रूममेट हुँ।
i'm your new roommate.	म तिम्रो नयाँ कोठामा बस्ने साथी हुँ।
is tom afraid of mary?	के टम मेरीसँग डराउँछन्?
is sugar good for you?	के तपाईंको लागि चिनी ठिक छ?
is that a real tattoo?	के त्यो वास्तविक ट्याटू हो?
it was a nice feeling.	यो एउटा राम्रो अनुभूति थियो।
it's causing problems.	यसले समस्या निम्त्याइरहेको छ ।
it's not raining hard.	ठुलो पानी परेको छैन।
just don't go outside.	बस बाहिर नजानुहोस्।
let's buy some apples.	केही स्याउ किनौं।
let's do this quietly.	चुपचापसंग गरौं।
may i use your toilet?	के म तिम्रो शौचालय प्रयोग गर्न सक्छु?
my father is a banker.	मेरो बुबा बैंकर हुनुहुन्छ।
my father is a banker.	मेरो बुबा बैंकमा काम गर्नुहुन्छ।
please take your time.	कृपया आफ्नो समय लिनुहोस्।
supplies are very low.	आपूर्ति धेरै कम छ।
tell tom what that is.	टमलाई भन्नुहोस् कि त्यो के हो।
thanks for the cookie.	कुकीज को लागी धन्यवाद।
that book is sold out.	त्यो पुस्तक बिक्री भइसकेको छ।
that isn't a bad idea.	त्यो नराम्रो विचार होइन।
that must be exciting.	त्यो रोमाञ्चक हुनुपर्छ।
that's tom's daughter.	ति टमकी छोरी हुन्।
the bus has just left.	बस भर्खरै छुट्यो।
the moon has come out.	चन्द्रमा निस्किसकेको छ ।
there was a thick fog.	त्यहाँ बाक्लो कुहिरो थियो।
this is my wife, mary.	यिनी मेरी श्रीमती मेरी हुन्।
this is the wrong key.	यो गलत चाबी हो।
this room is for rent.	यो कोठा भाडामा छ।
this tea is too sweet.	यो चिया धेरै गुलियो छ।
tom can take anything.	टम जे पनि लिन सक्छ।
tom grabbed the candy.	टमले मिठाई समात्यो।
tom has blue jeans on.	टमले नीलो जिन्स लगाएको छ।
tom is a fast thinker.	टम एक द्रुत विचारकर्ता हो।
tom is not interested.	टमलाई चासो छैन।
tom is washing dishes.	टम भाँडा धुँदै छ।
tom killed the spider.	टमले माकुरालाई मारे।
tom likes to show off.	टमलाई देखावटी गर्न मनपर्छ।
tom loves apple juice.	टमलाई स्याउको जुस मनपर्छ।
tom put away his toys.	टमले आफ्ना खेलौनाहरू राखे।
tom ran to the temple.	टम दौडेर मन्दिरतिर गयो।
tom said he was dying.	टमले भनो कि ऊ मर्दैछ।
tom wanted to succeed.	टम सफल हुन चाहन्थे।
tom was also offended.	टम पनि आक्रोशित थियो।
tom was told about it.	टमलाई यसको बारेमा बताइयो।
tom won't go, will he?	टम जानेछैन, के ऊ जान्छ?
we never said goodbye.	हामीले कहिल्यै अलविदा भनेनौं।
we'd better get ready.	हामी तयार हुनु राम्रो हुन्छ।
we'll go after we eat.	खाना खाइसकेपछि जान्छौं।
what did you just say?	भर्खरै के भन्नुभयो?
what do ostriches eat?	अस्ट्रिचले के खान्छ?
where can we find you?	हामी तपाईंलाई कहाँ भेट्टाउन सक्छौं?
where is your brother?	तपाइको भाई कहाँ हुनुहुन्छ?
who is that old woman?	ती वृद्धा को हुन्?
whose booklet is that?	त्यो पुस्तिका कसको हो ?
why didn't you answer?	तिमीले जवाफ किन नदिएको ?
why shop there anyway?	जे भए पनि त्यहाँ पसल किन ?
will you let tom sing?	के तपाइँ टमलाई गाउन दिनुहुनेछ?
you're going to be ok.	तपाईं ठीक हुन हुनुहुनेछ।
your mother loves you.	तिम्री आमाले तिमीलाई माया गर्नुहुन्छ।
are you open on sunday?	के तपाई आइतवार खाली हुनुहुन्छ?
do you know about this?	के तपाईलाई यसको बारेमा थाहा छ?
do you live here alone?	तिमी यहाँ एक्लै बस्छौ?
do you live here alone?	तपाई यहाँ एक्लै बस्नुहुन्छ?
do you live here alone?	त यहाँ एक्लै बस्छस्?
don't get carried away.	मलाई नबहकाउनु होस्।
don't skip classes, ok?	कक्षाहरू नछोड्नुहोस्, ठीक छ?
give me that iron ball.	मलाई त्यो फलामको बल दिनुहोस्।
give me that iron ball.	मलाई त्यो फलामको बल देऊ।
he often appears on tv.	उनी प्रायः टिभीमा देखा पर्छन्।
i am sixteen years old.	म सोह्र वर्षको भएँ।
i am sixteen years old.	म सोह्र वर्षको हुँ।
i decided to try again.	मैले पुन: प्रयास गर्ने निर्णय गरें।
i decided to try again.	मैले फेरि प्रयास गर्ने निर्णय गरें।
i decided to volunteer.	मैले स्वयंसेवक हुने निर्णय गरें।
i don't have seniority.	मसँग वरिष्ठता छैन।
i drink wine every day.	म हरेक दिन वाइन पिउँछु।
i got an a on my essay.	मैले मेरो निबन्धमा ए पाएँ।
i hate girls like that.	म त्यस्ता केटीहरूलाई घृणा गर्छु।
i kissed tom yesterday.	मैले हिजो टमलाई चुम्बन गरें।
i know tom is talented.	मलाई थाहा छ टम प्रतिभाशाली छ।
i know tom isn't happy.	मलाई थाहा छ टम खुसी छैन।
i must find the answer.	यसको जवाफ मैले खोज्नुपर्छ।
i must find the answer.	यसको जवाफ मैले नखोजी हुदैन।
i only eat kosher food.	म कोषेर खाना मात्र खान्छु।
i only eat kosher food.	म कोषेर खाना बाहेक अरु खन्न।
i really appreciate it.	म साँच्चै यसको कदर गर्छु।
i think i do good work.	मलाई राम्रो काम गर्छु भन्ने लाग्छ।
i went there yesterday.	म हिजो त्यहाँ गएको थिएँ ।
i will not be defeated.	म पराजित हुने छैन।
i'll pay for it myself.	यसको लागि म आफैं तिर्नेछु।
i'm literally starving.	म साँच्चै भोकै छु।
i'm not making changes.	म परिवर्तन गरिरहेको छुइन।
i'm on my way to tom's.	म टमको घर जाँदैछु।
i'm ready for tomorrow.	म भोलिको लागि तयार छु।
i'm sure it isn't true.	म पक्का छु कि यो सत्य होइन।
i've got no complaints.	मलाई कुनै गुनासो छैन।
is it a recent picture?	के यो हालको तस्वीर हो?
is it unconstitutional?	के यो असंवैधानिक हो?
it was really exciting.	यो साँच्चै रोमाञ्चक थियो।
it's snowing here, too.	यहाँ पनि हिउँ परेको छ ।
mosquitoes are insects.	लामखुट्टे किराहरू हुन्।
my mother is beautiful.	मेरी आमा सुन्दर हुनुहुन्छ।
my wife's name is mary.	मेरी श्रीमतीको नाम मेरी हो।
please make it cheaper.	कृपया यसलाई सस्तो बनाउनुहोस्।
she went to that store.	उनी त्यो पसलमा गइन्।
sometimes that happens.	कहिलेकाहीँ त्यस्तो हुन्छ।
thank you ever so much.	सधैं धेरै धेरै धन्यवाद।
thanks for the cookies.	कुकीज को लागी धन्यवाद।
that boy's name is tom.	त्यो केटाको नाम टम हो।
that'll have to change.	त्यो परिवर्तन गर्नुपर्छ।
the light turned green.	ट्राफिक बत्ती हरियो भयो।
they got into the boat.	तिनीहरू डुङ्गामा चढे।
this is so humiliating.	यो धेरै अपमानजनक छ।
this tea is too bitter.	यो चिया धेरै तितो छ।
tom and i aren't ready.	टम र म अझै तयार छैनौं।
tom and mary are twins.	टम र मेरी जुम्ल्याहा हुन्।
tom broke his left arm.	टमले आफ्नो देब्रे हात भाँच्यो।
tom damaged the engine.	टमले इन्जिनलाई क्षति पुर्यायो।
tom eats a lot of fish.	टमले धेरै माछा खान्छ।
tom gave mary a kitten.	टमले मेरीलाई एउटा बिरालोको बच्चा दिए।
tom has a half-brother.	टमको सौतेनी भाइ छ।
tom has exams tomorrow.	टमको भोलि परीक्षाहरु छन्।
tom is my new roommate.	टम मसँग कोठामा बस्ने नयाँ साथी हो।
tom is reluctant to go.	टम जान अनिच्छुक छ।
tom is writing letters.	टमले चिठीहरु लेख्दैछ।
tom makes model planes.	टमले नमुना विमानहरू बनाउँछ।
tom needs an incentive.	टमलाई प्रोत्साहनको आवश्यकता छ।
tom only drinks coffee.	टमले कफी मात्र पिउछ।
tom wants a girlfriend.	टम एक प्रेमिका चाहन्छ।
tom wants a girlfriend.	टम प्रेमिका चाहन्छ।
tom was killed in 2013.	टमको हत्या सन् २०१३ मा भएको थियो ।
we knew what to expect.	के आशा गर्ने भन्ने हामीलाई थाहा थियो।
we knew what to expect.	हामीलाई के आशा गर्ने थाहा थियो।
we walked to the store.	हामी पसलतिर लाग्यौं।
we'd better not go now.	हामी अब नजानु राम्रो हुन्छ।
we'll meet you outside.	हामी तपाईलाई बाहिर भेट्नेछौं।
what do you plan to do?	के गर्ने योजनामा हुनुहुन्छ?
what do you want to do?	तिमी के गर्न चाहान्छौ?
what do you want to do?	तपाई के गर्न चाहानुहुन्छ?
when will you get back?	तिमी कहिले फर्कनेछौ?
where's my apple juice?	मेरो स्याउको जुस कहाँ छ?
who could ask for more?	कसले धेरै माग्न सक्छ?
who is this tom anyway?	जे भए पनि यो टम को हो?
why don't you eat beef?	तपाई गाईको मासु किन खानु हुन्न ?
wolves have long tails.	ब्वाँसाको पुच्छर लामो हुन्छ।
you can eat this fruit.	यो फल खाए पनि हुन्छ।
you did very well, tom.	तिमीले धेरै राम्रो गर्यौ, टम।
you won't see me again.	तिमीले मलाई फेरि देख्ने छैनौ।
you're a good teammate.	तपाईं एक राम्रो टिममेट हुनुहुन्छ।
you're always laughing.	तपाईं सधैं हाँस्नुहुन्छ।
you're not very polite.	तिमी धेरै विनम्र छैनौ।
you've made your point.	तपाईंले आफ्नो कुरा राख्नुभएको छ।
"who is it?" "it's tom."	"यो को हो?" "यो टम हो।"
a bear can climb a tree.	भालु रूख चढ्न सक्छ।
animals are our friends.	जनावरहरू हाम्रा साथी हुन्।
are you free on mondays?	के तपाई सोमबार फ्री हुनुहुन्छ?
are you free on mondays?	के तपाई सोमबार खाली हुनुहुन्छ?
are you willing to help?	के तपाईं मद्दत गर्न इच्छुक हुनुहुन्छ?
ask me something easier.	मलाई केहि सजिलो सोध्नुहोस्।
can you lower the price?	तपाईं मूल्य कम गर्न सक्नुहुन्छ?
could you call me later?	के तपाईंले मलाई पछि कल गर्न सक्नुहुन्छ?
did tom buy a lot today?	के टमले आज धेरै किनेको छ?
did tom buy a lot today?	के टमले आज धेरै किन्यो ?
did you buy a new phone?	के तपाईंले नयाँ फोन किन्नु भयो?
do you have cough drops?	के तपाईसँग खोकी को औषधि छ?
do you know what to say?	के तपाईलाई थाहा छ के भन्ने हो?
everything's going well.	सबै कुरा राम्ररी चलिरहेको छ।
exactly how old are you?	ठ्याक्कै तपाईको उमेर कति हो?
he is a friendly person.	ऊ मिलनसार व्यक्ति छ।
he's writing a book now.	उनी अहिले किताब लेख्दै छन् ।
how long is this bridge?	यो पुल कति लामो छ?
i am eighteen years old.	म अठार वर्षको भएँ।
i am eighteen years old.	म अठार वर्षको हुँ।
i am not going anywhere.	म कतै जाँदै छैन।
i believe i can do that.	मलाई विश्वास छ म त्यो गर्न सक्छु।
i collect foreign coins.	म विदेशी मुद्रा सङ्कलन गर्छु।
i could hear everything.	म सबै कुरा सुन्न सक्थे।
i danced all night long.	म रातभरि नाचिरहेँ ।
i didn't know that rule.	मलाई त्यो नियम थाहा थिएन।
i don't blame you a bit.	म तिमीलाई अलिकति पनि दोष दिन्न।
i drink my coffee black.	म मेरो कफी कालो पिउछु।
i have nothing to share.	मसँग बाँड्ने केही छैन ।
i know him only by name.	मलाई उहाँको नाम मात्र थाहा छ।
i lived in a small town.	म एउटा सानो सहरमा बस्थे।
i must admit i like tom.	मैले मान्नु पर्छ कि म टमलाई मन पराउँछु।
i only know him by name.	मलाई उहाँको नाम मात्र थाहा छ।
i play soccer every day.	म हरेक दिन फुटबल खेल्छु।
i really need your help.	मलाई साँच्चै तपाईंको मद्दत चाहिन्छ।
i slowly opened my eyes.	मैले बिस्तारै आँखा खोलेँ।
i think tom is talented.	मलाई लाग्छ कि टम प्रतिभाशाली छ।
i think it's a bad idea.	मलाई यो नराम्रो विचार हो जस्तो लाग्छ।
i think you're mistaken.	मलाई लाग्छ तपाईं गलत हुनुहुन्छ।
i thought tom was happy.	मैले सोचें कि टम खुसी थिए।
i tried again and again.	मैले धेरै पटक प्रयास गरें।
i visited tom in boston.	म बोस्टनमा टमलाई भेट्न गएँ।
i want to wash my hands.	म आफ्नो हात धुन चाहन्छु।
i wish to see my father.	म बुबालाई भेट्न चाहन्छु।
i'll be your tour guide.	म तिम्रो टुर गाइड हुनेछु।
i'll meet you in boston.	म तिमीलाई बोस्टनमा भेट्नेछु।
i'm a woman, not a girl.	म महिला हुँ, केटी होइन।
i'm also from australia.	म पनि अस्ट्रेलिया बाट हुँ ।
i'm from australia, too.	म पनि अस्ट्रेलिया बाट हुँ ।
it was nice knowing you.	तिमीलाई चिन्दा राम्रो लाग्यो।
it was nice knowing you.	तपाईलाई चिन्न पाउँदा राम्रो लाग्यो।
it was nice knowing you.	तपाईलाई चिन्दा राम्रो लाग्यो।
it will be hot tomorrow.	भोलि गर्मी हुनेछ ।
look what they're doing.	हेर्नुहोस् तिनीहरू के गर्दैछन्।
make it a little bigger.	अलिक ठूलो बनाउनुहोस्।
make it a little larger.	अलिक ठूलो बनाउनुहोस्।
make it a little louder.	अलिक ठूलो बनाउनुहोस्।
maybe they'll come back.	सायद तिनीहरू फर्केर आउनेछन्।
my birthday is tomorrow.	मेरो जन्म दिन भोलि हो।
my mother isn't at home.	आमा घरमा हुनुहुन्न।
please keep this secret.	कृपया यसलाई गोप्य राख्नुहोस्।
please show me the list.	कृपया मलाई सूची देखाउनुहोस्।
she is as busy as a bee.	उनी मौरी जस्तै व्यस्त छिन्।
sorry for being so late.	धेरै ढिलो भएकोमा माफी चाहन्छु।
that was unprofessional.	त्यो अव्यवसायिक थियो।
the door was still open.	ढोका अझै खुल्ला थियो।
the law is pretty clear.	कानुन एकदमै स्पष्ट छ।
the police came quickly.	पुलिस छिट्टै आए।
the signal turned green.	ट्राफिक बत्ती हरियो भयो।
there are no exceptions.	त्यहाँ कुनै अपवाद छैन।
this is really exciting.	यो साँच्चै रोमाञ्चक छ।
tom blew out the candle.	टमले मैनबत्ती निभाए।
tom doesn't know french.	टम फ्रान्सेली जान्दैन।
tom is braver than i am.	टम म भन्दा बहादुर छ।
tom is doing all he can.	टमले आफूले सक्ने सबै गरिरहेको छ।
tom is still in the car.	टम अझै कार भित्र छ।
tom is writing a letter.	टमले पत्र लेख्दैछ।
tom is writing a letter.	टमले चिठी लेख्दैछ।
tom is writing a report.	टमले रिपोर्ट लेख्दैछ।
tom left because of you.	टमले तिम्रो कारणले छोड्यो।
tom said he felt lonely.	टमले आफू एक्लो महसुस गरेको बताए।
tom sang a song to mary.	टमले मेरीको लागि एउटा गीत गाए।
tom says mary was wrong.	टम भन्छन् कि मेरी गलत थिहिन्।
tom searched everywhere.	टमले जताततै खोज्यो।
tom wants to protect me.	टम मेरो रक्षा गर्न चाहन्छ।
tom was there yesterday.	टम हिजो त्यहाँ थियो।
tom wasn't the youngest.	टम सबैभन्दा कान्छो थिएन।
tom wears a tie to work.	टमले काम गर्न टाई लगाउँछ।
we can't live like this.	हामी यसरी बाँच्न सक्दैनौं।
we can't stay here long.	हामी यहाँ लामो समय बस्न सक्दैनौ।
we discussed what to do.	हामीले के गर्ने भन्ने कुरा गर्यौँ।
we don't have snow here.	हामीसँग यहाँ हिउँ छैन।
we have to be proactive.	हामी सक्रिय हुनुपर्छ।
we locked all the doors.	हामीले सबै ढोकामा ताल्चा लगायौ।
we should wait a little.	हामीले थोरै पर्खनुपर्छ।
what are we waiting for?	हामी के पर्खिरहेका छौं?
what time is it, anyway?	जे होस्, कति बजेको छ?
what time will you come?	तिमी कति बजे आउने छौ?
what year were you born?	तिम्रोको जन्म कुन सालमा भएको थियो ?
what's your wife's name?	तिम्री श्रीमतीको नाम के हो?
when's the next meeting?	अर्को बैठक कहिले हुन्छ?
which toe am i touching?	म कुन औंला छुदैछु?
who are you calling for?	तपाई कसलाई बोलाउदै हुनुहुन्छ?
who would notice anyway?	जे भए पनि कसले ध्यान दिने ?
why did tom do all this?	किन टमले यो सबै गरे?
why did you turn it off?	किन बन्द गर्नुभएको ?
you don't know who i am.	तिमीलाई थाहा छैन म को हुँ।
you should see a doctor.	तपाईंले डाक्टरलाई देखाउदा राम्रो हुन्छ।
you'd better stay quiet.	तपाईं चुप लागेर बस्नु राम्रो हुन्छ।
as a rule, i don't drink.	नियमको रूपमा, म पिउँदिन।
bring me a cup of coffee.	मलाई एक कप कफी ल्याउनुहोस्।
can i borrow your hammer?	के म तिम्रो हथौडा उधारो लिन सक्छु?
can't you leave me alone?	के तिमी मलाई एक्लै छोड्न सक्दैनौ?
christmas is almost here.	क्रिसमस आइसकेको छ।
did tom really kiss mary?	के टमले साँच्चै मेरीलाई चुम्बन गरेको थियो?
did you see tom steal it?	के तपाईंले टमले चोरेको देख्नुभयो?
does tom still play golf?	के टम अझै पनि गल्फ खेल्छन्?
don't smoke in this room.	कृपया यस कोठामा धुम्रपान नगर्नुहोस्।
everyone froze in horror.	सबै डरले थुरथुर भए।
how could you think that?	तपाईं कसरी त्येस्तो सोच्न सक्नुहुन्छ?
how did you convince tom?	तपाईंले टमलाई कसरी मनाउनुभयो?
how often do you do that?	तपाईं कत्तिको त्यसो गर्नुहुन्छ?
how tall is your brother?	तिम्रो भाइ कति अग्लो छ?
how tall is your brother?	तिम्रो दाई कति अग्लो हुनुहुन्छ?
i deserve to be rewarded.	म पुरस्कृत हुन योग्य छु।
i don't eat rice anymore.	म अब भात खान्न।
i don't have any regrets.	मलाई कुनै पछुतो छैन।
i don't have your number.	मसँग तिम्रो नम्बर छैन।
i have a lot of homework.	म संग गृहकार्य धेरै छ।
i have the same question.	मेरो पनि एउटै प्रश्न छ।
i know what's in the box.	मलाई बक्समा के छ भनेर थाहा छ।
i like the bright colors.	मलाई उज्यालो रंग मन पर्छ।
i like walking by myself.	म एक्लै हिड्न रुचाउछु।
i need a few suggestions.	मलाई केही सुझावहरू चाहिन्छ।
i really don't like dogs.	मलाई साँच्चै कुकुरहरू मन पर्दैन।
i saw him enter the room.	मैले उसलाई कोठामा पसेको देखेँ।
i think tom is obnoxious.	मलाई लाग्छ टम अपमानजनक छ।
i think we can handle it.	मलाई लाग्छ हामी यसलाई सम्हाल्न सक्छौं।
i thought it was obvious.	मैले सोचे कि यो स्पष्ट छ।
i took care of tom's cat.	मैले टमको बिरालोको हेरचाह गरें।
i want to eat fried rice.	म फ्राइड राइस खान चाहन्छु।
i want to go and do that.	म गएर त्यो गर्न चाहन्छु।
i'd almost fallen asleep.	म झन्डै निदाएको थिए ।
i'll be there right away.	म तुरुन्तै त्यहाँ जान्छु।
i'll be there right away.	म तत्कालै त्यहाँ जान्छु।
i'll call you right back.	म तिमीलाई तुरुन्तै फोन गर्छु।
i'll do whatever you ask.	तपाईले जे सोध्नुहुन्छ म गर्नेछु।
i'm not in love with you.	म तिम्रो मायामा छैन।
i'm very grateful to you.	म तपाईप्रति धेरै आभारी छु।
it didn't seem necessary.	यो आवश्यक देखिएन।
it's not difficult to do.	यो गर्न कठिन छैन।
it's not difficult to do.	यो गर्नलाई धेरै गाह्रो छैन।
it's not difficult to do.	यो त्यति मुस्किल छैन।
may i turn off the radio?	के म रेडियो बन्द गर्न सक्छु?
may i turn the radio off?	के म रेडियो बन्द गर्न सक्छु?
my birthday is next week.	मेरो जन्मदिन अर्को हप्ता हो।
my kid brother is twelve.	मेरो भाई १२ वर्षको छ।
my list has thirty names.	मेरो लिस्टमा तीस वटा नामहरू छन् ।
my mother is not at home.	आमा घरमा हुनुहुन्न।
my name is tom, not john.	मेरो नाम जोन होइन, टम हो।
no one wants to go there.	त्यहाँ कोहीपनि जान चाहँदैनन्।
please turn on the radio.	कृपया रेडियो खोल्नुहोस्।
please water the flowers.	कृपया फूलहरूमा पानी हाल्नुहोस्।
she came home after dark.	उनी अँध्यारो भएपछि घर फर्किइन्।
stop being so nice to me.	मसँग यति राम्रो नबन्नुहोस।
sugar isn't good for you.	चिनी स्वास्थ्यका लागि राम्रो हुदैन।
take him to the hospital.	उसलाई अस्पताल लैजानुहोस्।
take him to the hospital.	उहाँलाई अस्पताल लैजानुहोस्।
take this to your mother.	यसलाई आमालाई लगेर दिनुहोस्।
ten years is a long time.	दश वर्ष लामो समय हो।
that house is very small.	त्यो घर साँच्चै सानो छ।
that looks like it hurts.	त्यसले दुख्छ जस्तो लाग्छ।
the girl washed her hair.	केटीले आफ्नो कपाल धोइन्।
there's been an accident.	त्यहाँ दुर्घटना भएको छ।
these flowers are pretty.	यी फूलहरू सुन्दर छन्।
this is a very tall tree.	यो एकदमै अग्लो रुख हो।
this is a very tall tree.	यो रुख एकदमै अग्लो छ।
this wine is really good.	यो वाइन एकदमै राम्रो छ।
tom and mary are dieting.	टम र मेरी डाइट गर्दै छन्।
tom became quite wealthy.	टम धेरै धनी भए।
tom destroyed everything.	टमले सबै कुरा नष्ट गर्यो।
tom didn't have a ticket.	टमसँग कुनै टिकट थिएन।
tom got a little excited.	टम अलिकति उत्साहित भयो।
tom had a very good time.	टमले धेरै राम्रो समय बिताएको थियो।
tom has a beautiful wife.	टमकि सुन्दर श्रीमती छिन्।
tom has a little brother.	टमको एउटा भाइ छ।
tom is working on it now.	टम अहिले यसमा काम गरिरहेका छ।
tom is working on it now.	टम अहिले यसमा काम गर्दैछ।
tom is working right now.	टम अहिले काम गरिरहेको छ।
tom isn't jealous, is he?	टम ईर्ष्यालु छैन, हो?
tom isn't very important.	टम धेरै महत्त्वपूर्ण छैन।
tom loved helping people.	टम मानिसहरूलाई मद्दत गर्न मन पराउँथे।
tom made a serious error.	टमले गम्भीर गल्ती गर्‍यो।
tom only has one shoe on.	टमले एउटा मात्र जुत्ता लगाएको छ।
tom pulled out his phone.	टमले आफ्नो फोन निकाल्यो।
tom said he felt awkward.	टमले आफूलाई अप्ठ्यारो महसुस भएको बताए।
tom sang a song for mary.	टमले मेरीको लागि एउटा गीत गाए।
tom says that he's happy.	टम भन्छन् कि उनी खुशी छन्।
tom threw an egg at mary.	टमले मेरीलाई अण्डाले हान्यो।
tom was faster than mary.	टम मेरी भन्दा छिटो थियो।
tom was in constant pain.	टम निरन्तर पीडामा थिए।
tom was killed by a bull.	टमलाई गोरुले मारेको थियो।
tom was killed by a bull.	टम गोरुले द्वारा मारिएको थियो।
tom went to mary's house.	टम मेरीको घर गए।
tom worked at a hospital.	टम अस्पतालमा काम गर्थे।
tom worked at a hospital.	टमले अस्पतालमा काम गरेको थियो।
tomorrow is father's day.	भोलि बुबाको मुख हेर्ने दिन हो।
try to eat a little more.	अलि बढी खाने कोसिस गर्नुहोस्।
we put on our sunglasses.	हामीले हाम्रो सनग्लास लगायौं।
we put our sunglasses on.	हामीले हाम्रो सनग्लास लगायौं।
we won't take it anymore.	अब हामी यसलाई लिने छैनौं।
were you home last night?	हिजो राती घरमै हुनुहुन्थ्यो?
what do you use this for?	तपाइँ यो के को लागी प्रयोग गर्नुहुन्छ?
what shall we talk about?	हामी के को बारेमा कुरा गर्ने?
what's tom worried about?	टमलाई केको चिन्ता छ?
what's tom's wife's name?	टमकी श्रीमतीको नाम के हो?
where can i buy a ticket?	म कहाँ टिकट किन्न सक्छु?
who is tom talking about?	टम कसको बारेमा कुरा गर्दै हुनुहुन्छ?
who painted this picture?	यो तस्विर कसले बनाएको हो ?
why is everybody in here?	किन सबैजना यहाँ छन्?
why isn't tom doing this?	टमले किन यो गरिरहेको छैन?
will you be home tonight?	के तिमि आज राती घरमा हुन्छौ?
you didn't let me finish.	तपाईंले मलाई पूरा गर्न दिनुभएन।
you didn't let me finish.	तिमीले मलाई समाप्त गर्न दिएनौ।
you have great potential.	तपाईंसँग ठूलो क्षमता छ।
you must answer honestly.	तपाईले इमानदारीपूर्वक जवाफ दिनुपर्छ।
you were very convincing.	तपाईं धेरै विश्वस्त हुनुहुन्थ्यो।
your french is excellent.	तपाईंको फ्रान्सेली उत्कृष्ट छ।
"who is this?" "it's tom."	"यो को हो?" "यो टम हो।"
a gentle rain was falling.	हल्का पानी परिरहेको थियो।
all those boxes are empty.	ती सबै बक्सहरू खाली छन्।
do you actually like this?	के तपाई साँच्चै यो मनपर्छ?
do you think tom did that?	के तपाई टमले त्यसो गर्नुभयो जस्तो लाग्छ?
don't look out the window.	झ्यालबाट बाहिर नहेर्नुस्।
don't look out the window.	झ्यालबाट बाहिर नहेर।
everybody froze in horror.	सबै डरले थुरथुर भए।
have you been lying to me?	के तिमीले मसँग झूट बोलेको छौ ?
have you learned anything?	के तपाईंले केही सिक्नुभयो?
have you learned anything?	के तिमिले केही सिकेउ?
have you learned anything?	के तैले केही सिकिस?
have you seen tom tonight?	के तपाईंले आज राती टमलाई देख्नुभएको छ?
he can run faster than me.	ऊ म भन्दा छिटो कुद्छ।
he can run faster than me.	ऊ म भन्दा छिटो कुद्न सक्छ।
he helped me fix my watch.	उहाँले मलाई मेरो घडी मिलाउन मद्दत गर्नुभयो।
he seems to have been ill.	ऊ बिरामी थियो जस्तो देखिन्छ।
he used to be a gentleman.	उहाँ पहिले सज्जन हुनुहुन्थ्यो।
he used to be a gentleman.	ऊ पहिले सज्जन थियो।
he wants to learn to swim.	उनी पौडी खेल्न सिक्न चाहन्छन्।
he wants to learn to swim.	ऊ पौडी खेल्न सिक्न चाहन्छ।
how many santas are there?	त्यहाँ कति सान्ताहरू छन्?
how much milk did you buy?	तपाईले कति दुध किन्नु भयो ?
i am forever in your debt.	म तिम्रो ऋणमा सदाको लागि छु।
i believe that he's happy.	मलाई लाग्छ ऊ खुसी छ।
i can't find the rosemary.	म रोजमेरी फेला पार्न सक्दिन।
i can't find the rosemary.	मैले रोजमेरी भेट्टाउन सक्दिन।
i can't miss that meeting.	म त्यो बैठक छुटाउन सक्दिन।
i can't see the price tag.	म मूल्य ट्याग देख्न सक्दिन।
i didn't know what to say.	मलाई के भन्ने थाहा थिएन।
i don't even want to know.	म जान्न पनि चाहन्न।
i don't think i like that.	मलाई लाग्दैन कि मलाई त्यो मनपर्छ।
i don't want any crackers.	मलाई कुनै पटाका चाहिदैन।
i don't want any pancakes.	मलाई कुनै प्यानकेक चाहिदैन।
i don't want any problems.	म कुनै समस्या चाहन्न।
i don't want to be killed.	म मारिन चाहन्न।
i don't want to die alone.	म एक्लै मर्न चाहन्न।
i don't want to fight you.	म तिमीसँग लड्न चाहन्न।
i don't want to forget it.	म यसलाई बिर्सन चाहन्न।
i don't want to hear that.	म त्यो सुन्न चाहन्न।
i don't want to hear this.	म यो सुन्न चाहन्न।
i don't want to leave tom.	म टमलाई छोड्न चाहन्न।
i don't want to leave you.	म तिमीलाई छोड्न चाहन्न।
i don't want to marry tom.	म टमसँग बिहे गर्न चाहन्न।
i don't want to overreact.	म अति प्रतिक्रिया गर्न चाहन्न।
i don't want to shoot you.	म तिमीलाई गोली हान्न चाहन्न।
i don't want to sign that.	म त्यसमा हस्ताक्षर गर्न चाहन्न।
i don't want to stay here.	म यहाँ बस्न चाहन्न।
i don't want to upset you.	म तिमीलाई विचलित गर्न चाहन्न।
i don't want you involved.	म तपाईलाई संलग्न गराउन चाहन्न।
i don't want you to leave.	म तिमीलाई छोड्न चाहन्न।
i don't want you to worry.	म तिमीले चिन्ता गरेको चाहन्न।
i don't want your charity.	मलाई तिम्रो परोपकार चाहिदैन।
i don't want your opinion.	मलाई तिम्रो राय चाहिदैन।
i don't want your opinion.	म तिम्रो राय चाहन्न।
i drink tea without sugar.	म चिनी बिनाको चिया पिउँछु ।
i have a lot of back pain.	मलाई धेरै ढाड दुख्ने समस्या छ।
i heard a good joke today.	मैले आज एउटा राम्रो चुट्किला सुने।
i hope i didn't scare tom.	मलाई आशा छ कि मैले टमलाई डराएको छैन।
i just want to find a cab.	म बस एउटा ट्याक्सी खोज्न चाहन्छु।
i just want to watch this.	म यो मात्र हेर्न चाहन्छु।
i just want you to listen.	म केवल तपाईंले सुनेको चाहन्छु।
