who?	<SOS> को? <EOS>
i lived in a small town.	<SOS> म एउटा सानो सहरमा बस्थे। <EOS>
i must admit i like tom.	<SOS> मैले मान्नु पर्छ कि म टमलाई मन पराउँछु। <EOS>
i only know him by name.	<SOS> मलाई उहाँको नाम मात्र थाहा छ। <EOS>
i play soccer every day.	<SOS> म हरेक दिन फुटबल खेल्छु। <EOS>
i really need your help.	<SOS> मलाई साँच्चै तपाईंको मद्दत चाहिन्छ। <EOS>
i slowly opened my eyes.	<SOS> मैले बिस्तारै आँखा खोलेँ। <EOS>
i think tom is talented.	<SOS> मलाई लाग्छ कि टम प्रतिभाशाली छ। <EOS>
i think it's a bad idea.	<SOS> मलाई यो नराम्रो विचार हो जस्तो लाग्छ। <EOS>
i think you're mistaken.	<SOS> मलाई लाग्छ तपाईं गलत हुनुहुन्छ। <EOS>
i thought tom was happy.	<SOS> मैले सोचें कि टम खुसी थिए। <EOS>
i tried again and again.	<SOS> मैले धेरै पटक प्रयास गरें। <EOS>
i visited tom in boston.	<SOS> म बोस्टनमा टमलाई भेट्न गएँ। <EOS>
i want to wash my hands.	<SOS> म आफ्नो हात धुन चाहन्छु। <EOS>
i wish to see my father.	<SOS> म बुबालाई भेट्न चाहन्छु। <EOS>
i'll be your tour guide.	<SOS> म तिम्रो टुर गाइड हुनेछु। <EOS>
i'll meet you in boston.	<SOS> म तिमीलाई बोस्टनमा भेट्नेछु। <EOS>
i'm a woman, not a girl.	<SOS> म महिला हुँ, केटी होइन। <EOS>
i'm also from australia.	<SOS> म पनि अस्ट्रेलिया बाट हुँ । <EOS>
i'm from australia, too.	<SOS> म पनि अस्ट्रेलिया बाट हुँ । <EOS>
it was nice knowing you.	<SOS> तिमीलाई चिन्दा राम्रो लाग्यो। <EOS>
it was nice knowing you.	<SOS> तपाईलाई चिन्न पाउँदा राम्रो लाग्यो। <EOS>
it was nice knowing you.	<SOS> तपाईलाई चिन्दा राम्रो लाग्यो। <EOS>
it will be hot tomorrow.	<SOS> भोलि गर्मी हुनेछ । <EOS>
look what they're doing.	<SOS> हेर्नुहोस् तिनीहरू के गर्दैछन्। <EOS>
make it a little bigger.	<SOS> अलिक ठूलो बनाउनुहोस्। <EOS>
make it a little larger.	<SOS> अलिक ठूलो बनाउनुहोस्। <EOS>
make it a little louder.	<SOS> अलिक ठूलो बनाउनुहोस्। <EOS>
maybe they'll come back.	<SOS> सायद तिनीहरू फर्केर आउनेछन्। <EOS>
my birthday is tomorrow.	<SOS> मेरो जन्म दिन भोलि हो। <EOS>
my mother isn't at home.	<SOS> आमा घरमा हुनुहुन्न। <EOS>
please keep this secret.	<SOS> कृपया यसलाई गोप्य राख्नुहोस्। <EOS>
please show me the list.	<SOS> कृपया मलाई सूची देखाउनुहोस्। <EOS>
she is as busy as a bee.	<SOS> उनी मौरी जस्तै व्यस्त छिन्। <EOS>
sorry for being so late.	<SOS> धेरै ढिलो भएकोमा माफी चाहन्छु। <EOS>
that was unprofessional.	<SOS> त्यो अव्यवसायिक थियो। <EOS>
the door was still open.	<SOS> ढोका अझै खुल्ला थियो। <EOS>
the law is pretty clear.	<SOS> कानुन एकदमै स्पष्ट छ। <EOS>
the police came quickly.	<SOS> पुलिस छिट्टै आए। <EOS>
the signal turned green.	<SOS> ट्राफिक बत्ती हरियो भयो। <EOS>
there are no exceptions.	<SOS> त्यहाँ कुनै अपवाद छैन। <EOS>
this is really exciting.	<SOS> यो साँच्चै रोमाञ्चक छ। <EOS>
tom blew out the candle.	<SOS> टमले मैनबत्ती निभाए। <EOS>
tom doesn't know french.	<SOS> टम फ्रान्सेली जान्दैन। <EOS>
tom is braver than i am.	<SOS> टम म भन्दा बहादुर छ। <EOS>
tom is doing all he can.	<SOS> टमले आफूले सक्ने सबै गरिरहेको छ। <EOS>
tom is still in the car.	<SOS> टम अझै कार भित्र छ। <EOS>
tom is writing a letter.	<SOS> टमले पत्र लेख्दैछ। <EOS>
tom is writing a letter.	<SOS> टमले चिठी लेख्दैछ। <EOS>
tom is writing a report.	<SOS> टमले रिपोर्ट लेख्दैछ। <EOS>
tom left because of you.	<SOS> टमले तिम्रो कारणले छोड्यो। <EOS>
tom said he felt lonely.	<SOS> टमले आफू एक्लो महसुस गरेको बताए। <EOS>
tom sang a song to mary.	<SOS> टमले मेरीको लागि एउटा गीत गाए। <EOS>
tom says mary was wrong.	<SOS> टम भन्छन् कि मेरी गलत थिहिन्। <EOS>
tom searched everywhere.	<SOS> टमले जताततै खोज्यो। <EOS>
tom wants to protect me.	<SOS> टम मेरो रक्षा गर्न चाहन्छ। <EOS>
tom was there yesterday.	<SOS> टम हिजो त्यहाँ थियो। <EOS>
tom wasn't the youngest.	<SOS> टम सबैभन्दा कान्छो थिएन। <EOS>
tom wears a tie to work.	<SOS> टमले काम गर्न टाई लगाउँछ। <EOS>
we can't live like this.	<SOS> हामी यसरी बाँच्न सक्दैनौं। <EOS>
we can't stay here long.	<SOS> हामी यहाँ लामो समय बस्न सक्दैनौ। <EOS>
we discussed what to do.	<SOS> हामीले के गर्ने भन्ने कुरा गर्यौँ। <EOS>
we don't have snow here.	<SOS> हामीसँग यहाँ हिउँ छैन। <EOS>
we have to be proactive.	<SOS> हामी सक्रिय हुनुपर्छ। <EOS>
we locked all the doors.	<SOS> हामीले सबै ढोकामा ताल्चा लगायौ। <EOS>
we should wait a little.	<SOS> हामीले थोरै पर्खनुपर्छ। <EOS>
what are we waiting for?	<SOS> हामी के पर्खिरहेका छौं? <EOS>
what time is it, anyway?	<SOS> जे होस्, कति बजेको छ? <EOS>
what time will you come?	<SOS> तिमी कति बजे आउने छौ? <EOS>
what year were you born?	<SOS> तिम्रोको जन्म कुन सालमा भएको थियो ? <EOS>
what's your wife's name?	<SOS> तिम्री श्रीमतीको नाम के हो? <EOS>
when's the next meeting?	<SOS> अर्को बैठक कहिले हुन्छ? <EOS>
which toe am i touching?	<SOS> म कुन औंला छुदैछु? <EOS>
who are you calling for?	<SOS> तपाई कसलाई बोलाउदै हुनुहुन्छ? <EOS>
who would notice anyway?	<SOS> जे भए पनि कसले ध्यान दिने ? <EOS>
why did tom do all this?	<SOS> किन टमले यो सबै गरे? <EOS>
why did you turn it off?	<SOS> किन बन्द गर्नुभएको ? <EOS>
you don't know who i am.	<SOS> तिमीलाई थाहा छैन म को हुँ। <EOS>
you should see a doctor.	<SOS> तपाईंले डाक्टरलाई देखाउदा राम्रो हुन्छ। <EOS>
you'd better stay quiet.	<SOS> तपाईं चुप लागेर बस्नु राम्रो हुन्छ। <EOS>
as a rule, i don't drink.	<SOS> नियमको रूपमा, म पिउँदिन। <EOS>
bring me a cup of coffee.	<SOS> मलाई एक कप कफी ल्याउनुहोस्। <EOS>
can i borrow your hammer?	<SOS> के म तिम्रो हथौडा उधारो लिन सक्छु? <EOS>
can't you leave me alone?	<SOS> के तिमी मलाई एक्लै छोड्न सक्दैनौ? <EOS>
christmas is almost here.	<SOS> क्रिसमस आइसकेको छ। <EOS>
did tom really kiss mary?	<SOS> के टमले साँच्चै मेरीलाई चुम्बन गरेको थियो? <EOS>
did you see tom steal it?	<SOS> के तपाईंले टमले चोरेको देख्नुभयो? <EOS>
does tom still play golf?	<SOS> के टम अझै पनि गल्फ खेल्छन्? <EOS>
don't smoke in this room.	<SOS> कृपया यस कोठामा धुम्रपान नगर्नुहोस्। <EOS>
everyone froze in horror.	<SOS> सबै डरले थुरथुर भए। <EOS>
how could you think that?	<SOS> तपाईं कसरी त्येस्तो सोच्न सक्नुहुन्छ? <EOS>
how did you convince tom?	<SOS> तपाईंले टमलाई कसरी मनाउनुभयो? <EOS>
how often do you do that?	<SOS> तपाईं कत्तिको त्यसो गर्नुहुन्छ? <EOS>
how tall is your brother?	<SOS> तिम्रो भाइ कति अग्लो छ? <EOS>
how tall is your brother?	<SOS> तिम्रो दाई कति अग्लो हुनुहुन्छ? <EOS>
i deserve to be rewarded.	<SOS> म पुरस्कृत हुन योग्य छु। <EOS>
i don't eat rice anymore.	<SOS> म अब भात खान्न। <EOS>
i don't have any regrets.	<SOS> मलाई कुनै पछुतो छैन। <EOS>
i don't have your number.	<SOS> मसँग तिम्रो नम्बर छैन। <EOS>
i have a lot of homework.	<SOS> म संग गृहकार्य धेरै छ। <EOS>
i have the same question.	<SOS> मेरो पनि एउटै प्रश्न छ। <EOS>
i know what's in the box.	<SOS> मलाई बक्समा के छ भनेर थाहा छ। <EOS>
i like the bright colors.	<SOS> मलाई उज्यालो रंग मन पर्छ। <EOS>
i like walking by myself.	<SOS> म एक्लै हिड्न रुचाउछु। <EOS>
i need a few suggestions.	<SOS> मलाई केही सुझावहरू चाहिन्छ। <EOS>
i really don't like dogs.	<SOS> मलाई साँच्चै कुकुरहरू मन पर्दैन। <EOS>
i saw him enter the room.	<SOS> मैले उसलाई कोठामा पसेको देखेँ। <EOS>
i think tom is obnoxious.	<SOS> मलाई लाग्छ टम अपमानजनक छ। <EOS>
i think we can handle it.	<SOS> मलाई लाग्छ हामी यसलाई सम्हाल्न सक्छौं। <EOS>
i thought it was obvious.	<SOS> मैले सोचे कि यो स्पष्ट छ। <EOS>
i took care of tom's cat.	<SOS> मैले टमको बिरालोको हेरचाह गरें। <EOS>
i want to eat fried rice.	<SOS> म फ्राइड राइस खान चाहन्छु। <EOS>
i want to go and do that.	<SOS> म गएर त्यो गर्न चाहन्छु। <EOS>
i'd almost fallen asleep.	<SOS> म झन्डै निदाएको थिए । <EOS>
i'll be there right away.	<SOS> म तुरुन्तै त्यहाँ जान्छु। <EOS>
i'll be there right away.	<SOS> म तत्कालै त्यहाँ जान्छु। <EOS>
i'll call you right back.	<SOS> म तिमीलाई तुरुन्तै फोन गर्छु। <EOS>
i'll do whatever you ask.	<SOS> तपाईले जे सोध्नुहुन्छ म गर्नेछु। <EOS>
i'm not in love with you.	<SOS> म तिम्रो मायामा छैन। <EOS>
i'm very grateful to you.	<SOS> म तपाईप्रति धेरै आभारी छु। <EOS>
it didn't seem necessary.	<SOS> यो आवश्यक देखिएन। <EOS>
it's not difficult to do.	<SOS> यो गर्न कठिन छैन। <EOS>
it's not difficult to do.	<SOS> यो गर्नलाई धेरै गाह्रो छैन। <EOS>
it's not difficult to do.	<SOS> यो त्यति मुस्किल छैन। <EOS>
may i turn off the radio?	<SOS> के म रेडियो बन्द गर्न सक्छु? <EOS>
may i turn the radio off?	<SOS> के म रेडियो बन्द गर्न सक्छु? <EOS>
my birthday is next week.	<SOS> मेरो जन्मदिन अर्को हप्ता हो। <EOS>
my kid brother is twelve.	<SOS> मेरो भाई १२ वर्षको छ। <EOS>
my list has thirty names.	<SOS> मेरो लिस्टमा तीस वटा नामहरू छन् । <EOS>
my mother is not at home.	<SOS> आमा घरमा हुनुहुन्न। <EOS>
my name is tom, not john.	<SOS> मेरो नाम जोन होइन, टम हो। <EOS>
no one wants to go there.	<SOS> त्यहाँ कोहीपनि जान चाहँदैनन्। <EOS>
please turn on the radio.	<SOS> कृपया रेडियो खोल्नुहोस्। <EOS>
please water the flowers.	<SOS> कृपया फूलहरूमा पानी हाल्नुहोस्। <EOS>
she came home after dark.	<SOS> उनी अँध्यारो भएपछि घर फर्किइन्। <EOS>
stop being so nice to me.	<SOS> मसँग यति राम्रो नबन्नुहोस। <EOS>
sugar isn't good for you.	<SOS> चिनी स्वास्थ्यका लागि राम्रो हुदैन। <EOS>
take him to the hospital.	<SOS> उसलाई अस्पताल लैजानुहोस्। <EOS>
take him to the hospital.	<SOS> उहाँलाई अस्पताल लैजानुहोस्। <EOS>
take this to your mother.	<SOS> यसलाई आमालाई लगेर दिनुहोस्। <EOS>
ten years is a long time.	<SOS> दश वर्ष लामो समय हो। <EOS>
that house is very small.	<SOS> त्यो घर साँच्चै सानो छ। <EOS>
that looks like it hurts.	<SOS> त्यसले दुख्छ जस्तो लाग्छ। <EOS>
the girl washed her hair.	<SOS> केटीले आफ्नो कपाल धोइन्। <EOS>
there's been an accident.	<SOS> त्यहाँ दुर्घटना भएको छ। <EOS>
these flowers are pretty.	<SOS> यी फूलहरू सुन्दर छन्। <EOS>
this is a very tall tree.	<SOS> यो एकदमै अग्लो रुख हो। <EOS>
this is a very tall tree.	<SOS> यो रुख एकदमै अग्लो छ। <EOS>
this wine is really good.	<SOS> यो वाइन एकदमै राम्रो छ। <EOS>
tom and mary are dieting.	<SOS> टम र मेरी डाइट गर्दै छन्। <EOS>
tom became quite wealthy.	<SOS> टम धेरै धनी भए। <EOS>
tom destroyed everything.	<SOS> टमले सबै कुरा नष्ट गर्यो। <EOS>
tom didn't have a ticket.	<SOS> टमसँग कुनै टिकट थिएन। <EOS>
tom got a little excited.	<SOS> टम अलिकति उत्साहित भयो। <EOS>
tom had a very good time.	<SOS> टमले धेरै राम्रो समय बिताएको थियो। <EOS>
tom has a beautiful wife.	<SOS> टमकि सुन्दर श्रीमती छिन्। <EOS>
tom has a little brother.	<SOS> टमको एउटा भाइ छ। <EOS>
tom is working on it now.	<SOS> टम अहिले यसमा काम गरिरहेका छ। <EOS>
tom is working on it now.	<SOS> टम अहिले यसमा काम गर्दैछ। <EOS>
tom is working right now.	<SOS> टम अहिले काम गरिरहेको छ। <EOS>
tom isn't jealous, is he?	<SOS> टम ईर्ष्यालु छैन, हो? <EOS>
tom isn't very important.	<SOS> टम धेरै महत्त्वपूर्ण छैन। <EOS>
tom loved helping people.	<SOS> टम मानिसहरूलाई मद्दत गर्न मन पराउँथे। <EOS>
tom made a serious error.	<SOS> टमले गम्भीर गल्ती गर्‍यो। <EOS>
tom only has one shoe on.	<SOS> टमले एउटा मात्र जुत्ता लगाएको छ। <EOS>
tom pulled out his phone.	<SOS> टमले आफ्नो फोन निकाल्यो। <EOS>
tom said he felt awkward.	<SOS> टमले आफूलाई अप्ठ्यारो महसुस भएको बताए। <EOS>
tom sang a song for mary.	<SOS> टमले मेरीको लागि एउटा गीत गाए। <EOS>
tom says that he's happy.	<SOS> टम भन्छन् कि उनी खुशी छन्। <EOS>
tom threw an egg at mary.	<SOS> टमले मेरीलाई अण्डाले हान्यो। <EOS>
tom was faster than mary.	<SOS> टम मेरी भन्दा छिटो थियो। <EOS>
tom was in constant pain.	<SOS> टम निरन्तर पीडामा थिए। <EOS>
tom was killed by a bull.	<SOS> टमलाई गोरुले मारेको थियो। <EOS>
tom was killed by a bull.	<SOS> टम गोरुले द्वारा मारिएको थियो। <EOS>
tom went to mary's house.	<SOS> टम मेरीको घर गए। <EOS>
tom worked at a hospital.	<SOS> टम अस्पतालमा काम गर्थे। <EOS>
tom worked at a hospital.	<SOS> टमले अस्पतालमा काम गरेको थियो। <EOS>
tomorrow is father's day.	<SOS> भोलि बुबाको मुख हेर्ने दिन हो। <EOS>
try to eat a little more.	<SOS> अलि बढी खाने कोसिस गर्नुहोस्। <EOS>
we put on our sunglasses.	<SOS> हामीले हाम्रो सनग्लास लगायौं। <EOS>
we put our sunglasses on.	<SOS> हामीले हाम्रो सनग्लास लगायौं। <EOS>
we won't take it anymore.	<SOS> अब हामी यसलाई लिने छैनौं। <EOS>
were you home last night?	<SOS> हिजो राती घरमै हुनुहुन्थ्यो? <EOS>
what do you use this for?	<SOS> तपाइँ यो के को लागी प्रयोग गर्नुहुन्छ? <EOS>
what shall we talk about?	<SOS> हामी के को बारेमा कुरा गर्ने? <EOS>
what's tom worried about?	<SOS> टमलाई केको चिन्ता छ? <EOS>
what's tom's wife's name?	<SOS> टमकी श्रीमतीको नाम के हो? <EOS>
where can i buy a ticket?	<SOS> म कहाँ टिकट किन्न सक्छु? <EOS>
who is tom talking about?	<SOS> टम कसको बारेमा कुरा गर्दै हुनुहुन्छ? <EOS>
who painted this picture?	<SOS> यो तस्विर कसले बनाएको हो ? <EOS>
why is everybody in here?	<SOS> किन सबैजना यहाँ छन्? <EOS>
why isn't tom doing this?	<SOS> टमले किन यो गरिरहेको छैन? <EOS>
will you be home tonight?	<SOS> के तिमि आज राती घरमा हुन्छौ? <EOS>
you didn't let me finish.	<SOS> तपाईंले मलाई पूरा गर्न दिनुभएन। <EOS>
you didn't let me finish.	<SOS> तिमीले मलाई समाप्त गर्न दिएनौ। <EOS>
you have great potential.	<SOS> तपाईंसँग ठूलो क्षमता छ। <EOS>
you must answer honestly.	<SOS> तपाईले इमानदारीपूर्वक जवाफ दिनुपर्छ। <EOS>
you were very convincing.	<SOS> तपाईं धेरै विश्वस्त हुनुहुन्थ्यो। <EOS>
your french is excellent.	<SOS> तपाईंको फ्रान्सेली उत्कृष्ट छ। <EOS>
"who is this?" "it's tom."	<SOS> "यो को हो?" "यो टम हो।" <EOS>
a gentle rain was falling.	<SOS> हल्का पानी परिरहेको थियो। <EOS>
all those boxes are empty.	<SOS> ती सबै बक्सहरू खाली छन्। <EOS>
do you actually like this?	<SOS> के तपाई साँच्चै यो मनपर्छ? <EOS>
do you think tom did that?	<SOS> के तपाई टमले त्यसो गर्नुभयो जस्तो लाग्छ? <EOS>
don't look out the window.	<SOS> झ्यालबाट बाहिर नहेर्नुस्। <EOS>
don't look out the window.	<SOS> झ्यालबाट बाहिर नहेर। <EOS>
everybody froze in horror.	<SOS> सबै डरले थुरथुर भए। <EOS>
have you been lying to me?	<SOS> के तिमीले मसँग झूट बोलेको छौ ? <EOS>
have you learned anything?	<SOS> के तपाईंले केही सिक्नुभयो? <EOS>
have you learned anything?	<SOS> के तिमिले केही सिकेउ? <EOS>
have you learned anything?	<SOS> के तैले केही सिकिस? <EOS>
have you seen tom tonight?	<SOS> के तपाईंले आज राती टमलाई देख्नुभएको छ? <EOS>
he can run faster than me.	<SOS> ऊ म भन्दा छिटो कुद्छ। <EOS>
he can run faster than me.	<SOS> ऊ म भन्दा छिटो कुद्न सक्छ। <EOS>
he helped me fix my watch.	<SOS> उहाँले मलाई मेरो घडी मिलाउन मद्दत गर्नुभयो। <EOS>
he seems to have been ill.	<SOS> ऊ बिरामी थियो जस्तो देखिन्छ। <EOS>
he used to be a gentleman.	<SOS> उहाँ पहिले सज्जन हुनुहुन्थ्यो। <EOS>
he used to be a gentleman.	<SOS> ऊ पहिले सज्जन थियो। <EOS>
he wants to learn to swim.	<SOS> उनी पौडी खेल्न सिक्न चाहन्छन्। <EOS>
he wants to learn to swim.	<SOS> ऊ पौडी खेल्न सिक्न चाहन्छ। <EOS>
how many santas are there?	<SOS> त्यहाँ कति सान्ताहरू छन्? <EOS>
how much milk did you buy?	<SOS> तपाईले कति दुध किन्नु भयो ? <EOS>
i am forever in your debt.	<SOS> म तिम्रो ऋणमा सदाको लागि छु। <EOS>
i believe that he's happy.	<SOS> मलाई लाग्छ ऊ खुसी छ। <EOS>
i can't find the rosemary.	<SOS> म रोजमेरी फेला पार्न सक्दिन। <EOS>
i can't find the rosemary.	<SOS> मैले रोजमेरी भेट्टाउन सक्दिन। <EOS>
i can't miss that meeting.	<SOS> म त्यो बैठक छुटाउन सक्दिन। <EOS>
i can't see the price tag.	<SOS> म मूल्य ट्याग देख्न सक्दिन। <EOS>
i didn't know what to say.	<SOS> मलाई के भन्ने थाहा थिएन। <EOS>
i don't even want to know.	<SOS> म जान्न पनि चाहन्न। <EOS>
i don't think i like that.	<SOS> मलाई लाग्दैन कि मलाई त्यो मनपर्छ। <EOS>
i don't want any crackers.	<SOS> मलाई कुनै पटाका चाहिदैन। <EOS>
i don't want any pancakes.	<SOS> मलाई कुनै प्यानकेक चाहिदैन। <EOS>
i don't want any problems.	<SOS> म कुनै समस्या चाहन्न। <EOS>
i don't want to be killed.	<SOS> म मारिन चाहन्न। <EOS>
i don't want to die alone.	<SOS> म एक्लै मर्न चाहन्न। <EOS>
i don't want to fight you.	<SOS> म तिमीसँग लड्न चाहन्न। <EOS>
i don't want to forget it.	<SOS> म यसलाई बिर्सन चाहन्न। <EOS>
i don't want to hear that.	<SOS> म त्यो सुन्न चाहन्न। <EOS>
i don't want to hear this.	<SOS> म यो सुन्न चाहन्न। <EOS>
i don't want to leave tom.	<SOS> म टमलाई छोड्न चाहन्न। <EOS>
i don't want to leave you.	<SOS> म तिमीलाई छोड्न चाहन्न। <EOS>
i don't want to marry tom.	<SOS> म टमसँग बिहे गर्न चाहन्न। <EOS>
i don't want to overreact.	<SOS> म अति प्रतिक्रिया गर्न चाहन्न। <EOS>
i don't want to shoot you.	<SOS> म तिमीलाई गोली हान्न चाहन्न। <EOS>
i don't want to sign that.	<SOS> म त्यसमा हस्ताक्षर गर्न चाहन्न। <EOS>
i don't want to stay here.	<SOS> म यहाँ बस्न चाहन्न। <EOS>
i don't want to upset you.	<SOS> म तिमीलाई विचलित गर्न चाहन्न। <EOS>
i don't want you involved.	<SOS> म तपाईलाई संलग्न गराउन चाहन्न। <EOS>
i don't want you to leave.	<SOS> म तिमीलाई छोड्न चाहन्न। <EOS>
i don't want you to worry.	<SOS> म तिमीले चिन्ता गरेको चाहन्न। <EOS>
i don't want your charity.	<SOS> मलाई तिम्रो परोपकार चाहिदैन। <EOS>
i don't want your opinion.	<SOS> मलाई तिम्रो राय चाहिदैन। <EOS>
i don't want your opinion.	<SOS> म तिम्रो राय चाहन्न। <EOS>
i drink tea without sugar.	<SOS> म चिनी बिनाको चिया पिउँछु । <EOS>
i have a lot of back pain.	<SOS> मलाई धेरै ढाड दुख्ने समस्या छ। <EOS>
i heard a good joke today.	<SOS> मैले आज एउटा राम्रो चुट्किला सुने। <EOS>
i hope i didn't scare tom.	<SOS> मलाई आशा छ कि मैले टमलाई डराएको छैन। <EOS>
i just want to find a cab.	<SOS> म बस एउटा ट्याक्सी खोज्न चाहन्छु। <EOS>
i just want to watch this.	<SOS> म यो मात्र हेर्न चाहन्छु। <EOS>
i just want you to listen.	<SOS> म केवल तपाईंले सुनेको चाहन्छु। <EOS>
i know how tom got strong.	<SOS> मलाई थाहा छ टम कसरी बलियो भयो। <EOS>
i know that tom is in bed.	<SOS> मलाई थाहा छ टम ओछ्यानमा छ। <EOS>
i really liked your story.	<SOS> मलाई तपाईको कथा साँच्चै मन पर्यो। <EOS>
i really liked your story.	<SOS> मलाई तिम्रो कथा साँच्चै मन पर्यो। <EOS>
i really want to help you.	<SOS> म साँच्चै तपाईंलाई मद्दत गर्न चाहन्छु। <EOS>
i really want to meet tom.	<SOS> म साँच्चै टमलाई भेट्न चाहन्छु। <EOS>
i sent tom back to boston.	<SOS> मैले टमलाई बोस्टन फिर्ता पठाएँ। <EOS>
i stopped drinking coffee.	<SOS> मैले कफी पिउन छाडिदिएँ। <EOS>
i suspect tom is involved.	<SOS> मलाई शंका छ टम संलग्न छ। <EOS>
i think that you're wrong.	<SOS> मलाई लाग्छ तपाईं गलत हुनुहुन्छ। <EOS>
i usually dream in french.	<SOS> म सामान्यतया फ्रान्सेलीमा सपना देख्छु। <EOS>
i want a few more minutes.	<SOS> मलाई अझै केही मिनेट चाहिन्छ। <EOS>
i want it to be a success.	<SOS> म यो सफल होस् भन्ने चाहन्छु। <EOS>
i want my 20 dollars back.	<SOS> म मेरो 20 डलर फिर्ता चाहन्छु। <EOS>
i want my kids to be safe.	<SOS> म मेरो बच्चाहरु सुरक्षित हुन भन्ने चाहन्छु। <EOS>
i want new business cards.	<SOS> म नयाँ व्यापार कार्ड चाहन्छु। <EOS>
i want the truth from you.	<SOS> म तिमीबाट सत्य चाहन्छु। <EOS>
i want to ask you a favor.	<SOS> म तपाईलाई एउटा कृपा सोध्न चाहन्छु। <EOS>
i want to be here for tom.	<SOS> म टमको लागि यहाँ हुन चाहन्छु। <EOS>
i want to be your husband.	<SOS> म तिम्रो श्रीमान बन्न चाहन्छु। <EOS>
i want to contribute more.	<SOS> म थप योगदान गर्न चाहन्छु। <EOS>
i want to stretch my legs.	<SOS> म मेरो खुट्टा फैलाउन चाहन्छु। <EOS>
i wrote you three letters.	<SOS> मैले तिमीलाई तीनवटा पत्र लेखेको छु । <EOS>
i'd never let tom kiss me.	<SOS> मैले टमलाई कहिल्यै चुम्बन गर्न दिइनँ। <EOS>
i'll be there in a minute.	<SOS> म तत्कालै त्यहाँ जान्छु। <EOS>
i'm not here to celebrate.	<SOS> म यहाँ उत्सव मनाउन आएको होइन। <EOS>
it is likely to rain soon.	<SOS> छिट्टै पानी पर्ने जस्तो देखिन्छ। <EOS>
it's five minutes to nine.	<SOS> ९ बज्न ५ मिनेट बाँकी छ। <EOS>
it's getting dark outside.	<SOS> बाहिर अँध्यारो हुँदैछ। <EOS>
let's remember to do that.	<SOS> त्यसो गर्न सम्झौं। <EOS>
my birthday is in october.	<SOS> मेरो जन्मदिन अक्टोबरमा हो। <EOS>
my father isn't talkative.	<SOS> मेरो बुबा मौन हुनुहुन्छ। <EOS>
my father isn't talkative.	<SOS> मेरो बुबा खासै बोल्नु हुन्न। <EOS>
my father works at a bank.	<SOS> मेरो बुबा बैंकर हुनुहुन्छ। <EOS>
my father works at a bank.	<SOS> मेरो बुबा बैंकमा काम गर्नुहुन्छ। <EOS>
my name isn't on the list.	<SOS> सूचीमा मेरो नाम छैन। <EOS>
only tom knows the answer.	<SOS> टमलाई मात्र जवाफ थाहा छ। <EOS>
put this in your backpack.	<SOS> यसलाई आफ्नो झोलामा राख्नुहोस्। <EOS>
tell me what your name is.	<SOS> तिम्रो नाम के हो भन। <EOS>
the children looked happy.	<SOS> बच्चाहरु खुसी देखिन्थे। <EOS>
the cows are eating grass.	<SOS> गाईहरूले घाँस खाइरहेका छन्। <EOS>
the station is pretty far.	<SOS> स्टेशनबाट अलि टाढा छ। <EOS>
the street is very narrow.	<SOS> त्यो गल्ली निकै साँघुरो छ। <EOS>
they were waiting for tom.	<SOS> उनीहरू टमलाई पर्खिरहेका थिए। <EOS>
they were waiting for tom.	<SOS> तिनीहरू टमको प्रतीक्षा गर्दै थिए। <EOS>
this dress suits you well.	<SOS> यो पोशाक तपाईलाई राम्रोसँग सुहाउँछ। <EOS>
this dress suits you well.	<SOS> यो लुगाले तपाईलाई राम्रो देखिन्छ। <EOS>
today is my birthday, too.	<SOS> आज मेरो पनि जन्मदिन हो। <EOS>
tom and i danced together.	<SOS> टम र म सँगै नाच्यौं। <EOS>
tom and mary are finished.	<SOS> टम र मेरी ले सकाए। <EOS>
tom and mary like cycling.	<SOS> टम र मेरी साइकल चलाउन मन पराउँछन्। <EOS>
tom and mary will do that.	<SOS> टम र मेरीले त्यो गर्नेछन्। <EOS>
tom ate all the ice cream.	<SOS> टमले सबै आइसक्रिम खायो। <EOS>
tom burned mary's picture.	<SOS> टमले मेरीको तस्बिर जलाए। <EOS>
tom burned mary's picture.	<SOS> टमले मेरीको तस्बिर जलायो। <EOS>
tom can't write very well.	<SOS> टम धेरै राम्रो लेख्न सक्दैन। <EOS>
tom didn't run after mary.	<SOS> टम मेरीको पछि दौडिएन। <EOS>
tom felt quite threatened.	<SOS> उनीहरूले जे गर्नुपर्छ त्यही गर्छन्। <EOS>
tom has a beautiful voice.	<SOS> टमको आवाज सुन्दर छ। <EOS>
tom has a younger brother.	<SOS> टमको एउटा भाइ छ। <EOS>
tom has changed his plans.	<SOS> टमले आफ्नो योजनाहरू परिवर्तन गरेको छ। <EOS>
tom is talented, isn't he?	<SOS> टम प्रतिभाशाली छ, हैन? <EOS>
tom is the name of my son.	<SOS> टम मेरो छोराको नाम हो। <EOS>
tom is the team's captain.	<SOS> टम टोलीको कप्तान हो। <EOS>
tom is wearing blue jeans.	<SOS> टमले नीलो जिन्स लगाएको छ। <EOS>
tom looked a bit confused.	<SOS> टम अलि अलमलमा परेको देखियो । <EOS>
tom opened the front door.	<SOS> टमले अगाडिको ढोका खोल्यो। <EOS>
tom plans to study french.	<SOS> टमले फ्रान्सेली अध्ययन गर्ने योजना बनायो। <EOS>
tom plans to study french.	<SOS> टमले फ्रान्सेली पढ्ने योजना बनाए। <EOS>
